##
## Configuration for Draw.io CSV Import
#
# label: %name%<br><i style="color:gray;">%summary%</i><br><small>Updated: %upload_time%<br>Depth: %depth%</small>
# style: shape=rectangle;html=1;whiteSpace=wrap;rounded=1;fillColor=%color%;strokeColor=#000000;strokeWidth=1;fontColor=#000000;
# connect: {"from": "target_node", "to": "source_name", "style":"endArrow=classic;endFill=1;html=1;fontSize=10;"}
# identity: pythonpackage_id
# namespace: csvimport-
# layout: auto
# nodespacing: 30
# edgespacing: 40
#
## ---- CSV starts below ----
pythonpackage_id,name,summary,upload_time,depth,color,source_name,target_node
mapclassify,mapclassify,Classification Schemes for Choropleth Maps.,2025-05-28T05:34:37,3,#FF33A8,mapclassify,sphinx_bootstrap_theme
mapclassify,mapclassify,Classification Schemes for Choropleth Maps.,2025-05-28T05:34:37,3,#FF33A8,mapclassify,geodatasets
mapclassify,mapclassify,Classification Schemes for Choropleth Maps.,2025-05-28T05:34:37,3,#FF33A8,mapclassify,lonboard
mapclassify,mapclassify,Classification Schemes for Choropleth Maps.,2025-05-28T05:34:37,3,#FF33A8,mapclassify,pydeck
momepy,momepy,Urban Morphology Measuring Toolkit,2024-11-29T09:35:53,2,#33FF57,momepy,esda
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,rtree
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,codecov
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,folium
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,sphinx_bootstrap_theme
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,matplotlib-scalebar
esda,esda,Exploratory Spatial Data Analysis in PySAL,2025-02-06T17:30:26,3,#FF33A8,esda,watermark
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,contextily
contextily,contextily,Context geo-tiles in Python,2024-09-03T09:14:43,2,#33FF57,contextily,geopy
geopy,geopy,Python Geocoding Toolbox,2023-11-23T21:49:30,3,#FF33A8,geopy,geographiclib
geopy,geopy,Python Geocoding Toolbox,2023-11-23T21:49:30,3,#FF33A8,geopy,aiohttp
geopy,geopy,Python Geocoding Toolbox,2023-11-23T21:49:30,3,#FF33A8,geopy,sphinx-rtd-theme
geopy,geopy,Python Geocoding Toolbox,2023-11-23T21:49:30,3,#FF33A8,geopy,urllib3
contextily,contextily,Context geo-tiles in Python,2024-09-03T09:14:43,2,#33FF57,contextily,mercantile
contextily,contextily,Context geo-tiles in Python,2024-09-03T09:14:43,2,#33FF57,contextily,xyzservices
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,cairocffi
cairocffi,cairocffi,cffi-based cairo bindings for Python,2024-06-18T10:55:59,2,#33FF57,cairocffi,cffi
cffi,cffi,Foreign Function Interface for Python calling C code.,2016-11-12T13:54:08,3,#FF33A8,cffi,pycparser
cairocffi,cairocffi,cffi-based cairo bindings for Python,2024-06-18T10:55:59,2,#33FF57,cairocffi,pikepdf
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,deprecated
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,typer
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,sphinx-rtd-theme
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,tomli
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,lxml-stubs
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,psutil
pikepdf,pikepdf,"Read and write PDFs with Python, powered by qpdf",2025-05-27T20:37:47,3,#FF33A8,pikepdf,python-xmp-toolkit
cairocffi,cairocffi,cffi-based cairo bindings for Python,2024-06-18T10:55:59,2,#33FF57,cairocffi,xcffib
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,igraph
igraph,igraph,High performance graph data structures and algorithms,2022-01-10T14:39:25,2,#33FF57,igraph,texttable
igraph,igraph,High performance graph data structures and algorithms,2022-01-10T14:39:25,2,#33FF57,igraph,sphinx-rtd-theme
sphinx-rtd-theme,sphinx-rtd-theme,Read the Docs theme for Sphinx,2024-11-13T11:06:02,3,#FF33A8,sphinx-rtd-theme,sphinxcontrib-jquery
sphinx-rtd-theme,sphinx-rtd-theme,Read the Docs theme for Sphinx,2024-11-13T11:06:02,3,#FF33A8,sphinx-rtd-theme,transifex-client
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,pygraphviz
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,pydot
pydot,pydot,Python interface to Graphviz's Dot,2025-05-04T11:13:01,2,#33FF57,pydot,parameterized
pydot,pydot,Python interface to Graphviz's Dot,2025-05-04T11:13:01,2,#33FF57,pydot,zest.releaser
zest.releaser,zest.releaser,Software releasing made easy and repeatable,2025-04-11T09:57:58,3,#FF33A8,zest.releaser,readme_renderer
zest.releaser,zest.releaser,Software releasing made easy and repeatable,2025-04-11T09:57:58,3,#FF33A8,zest.releaser,tomli
zest.releaser,zest.releaser,Software releasing made easy and repeatable,2025-04-11T09:57:58,3,#FF33A8,zest.releaser,pep440
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,protobuf
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,snowplow-tracker
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,sqlparse
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,dbt-extractor
dbt-core,dbt-core,"With dbt, data analysts and engineers can build analytics the way engineers build applications.",2025-05-30T17:19:50,0,#FF5733,dbt-core,dbt-semantic-interfaces
